abide[əbʌid]--abode[əbəud]--abode[əbəud]		|Выносить, терпеть
foretell[fɔːˈtɛl]--foretold[fɔːˈtəʊld]--foretold[fɔːˈtəʊld]	|Предсказывать, предвещать
forget[fə'get]--forgot[fə'gɔt]--forgotten[fə'gɔt(ə)n]	|Забывать
forgive[fo'giv]--forgave[fo'geiv]--forgiven[fo'givn]	|Прощать
forsake[fəˈseɪk]--forsook[fəˈsʊk]--forsaken[fəˈseɪkn]	|Оставлять, покидать
freeze[fri:z]--froze[frouz]--frozen['frouzn]		|Замерзать
get[get]--got[gɔt]--got[gɔt]		|Получать
gild[gɪld]--gilt[gɪlt]--gilt[gɪlt]	|Золотить
give[giv]--gave[geiv]--given[givn]	|Давать
go[gou]--went[went]--gone[gɔn]		|Идти
grind[graɪnd]--ground[graʊnd]--ground[graʊnd]	|Молоть, перемалывать
grow[grou]--grew[gru:]--grown[groun]	|Расти
hang[hæŋ]--hung[hʌŋ]--hung[hʌŋ]		|Вешать
have[hæv]--had[hæd]--had[hæd]		|Иметь
hear[hiə]--heard[hз:d]--heard[hз:d]	|Слышать
hide[haid]--hid[hid]--hidden['hidn]	|Прятать
heave[hi:v]--heaved[həʊv]/hove[hi:vd]--heaved[həʊv]/hove[hi:vd]	|Тянуть, тужиться
hew[hju:]--hewed[hju:d]--hewn/hewed[hju:d]/[hju:n]|Рубить, срубать
hit[hit]--hit[hit]--hit[hit]		|Попадать в цель
hide[haɪd]--hid[hɪd]--hidden[hɪdn]	|Скрывать, прятать
hold[hould]--held[held]--held[held]	|Держать
hurt[hз:t]--hurt[hз:t]--hurt[hз:t]	|Ушибить
inlay[ɪnˈleɪ]--inlaid[ɪnˈleɪd]--inlaid[ɪnˈleɪd]	|Вкладывать (деньги), инкрустировать
input[ˈɪnpʊt]--input[ˈɪnpʊt]--input[ˈɪnpʊt]	|Ввести, вводить
interweave[ɪntəˈwiːv]--interwove[ɪntəˈwəʊv]--interwoven[ɪntəˈwəʊv(ə)n]	|Вплетать
keep[ki:p]--kept[kept]--kept[kept]	|Содержать
kneel[ni:l]--knelt[nelt]--knelt[nelt]	|Стоять на коленях
knit[nɪt]--knit[nɪt]--knit[nɪt]		|Вязать, штопать
know[nou]--knew[nju:]--known[noun]	|Знать
lay[lei]--laid[leid]--laid[leid]	|Класть
lead[li:d]--led[led]--led[led]		|Вести
lean[li:n]--leant[lent]--leant[lent]	|Наклоняться
leap[li:p]--leapt[lɛpt]--leapt[lɛpt]	|Прыгать, скакать
learn[lз:n]--learnt[lз:nt]--learnt[lз:nt]|Учить
leave[li:v]--left[left]--left[left]	|Оставлять
lend[lend]--lent[lent]--lent[lent]	|Занимать
let[let]--let[let]--let[let]		|Позволять
lie[lai]--lay[lei]--lain[lein]		|Лежать
light[lait]--lit[lit]--lit[lit]		|Освещать
lose[lu:z]--lost[lɔst]--lost[lɔst]	|Терять
make[meik]--made[meid]--made[meid]	|Производить
mean[mi:n]--meant[ment]--meant[ment]	|Значить
meet[mi:t]--met[met]--met[met]		|Встречать
mistake[mis'teik]--mistook[mis'tuk]--mistaken[mis'teik(e)n]|Ошибаться
mow[moʊ]--mowed[moʊd]--mown[moʊn]	|Косить, стричь
overcome[əʊvəˈkʌm]--overcame[əʊvəˈkeɪm]--overcome[əʊvəˈkʌm]|Преодолеть, побороть
pay[pei]--paid[peid]--paid[peid]	|Платить
plead[pli:d]--pleaded[pli:dɪd]/ pled[plɛd]--pleaded[pli:dɪd]/ pled[plɛd]|Умолять, просить
prove[pru:v]--proved[pru:vd]--proven[pru:vn]|Доказывать
put[put]--put[put]--put[put]		|Положить
quit[kwit]--quit[kwit]--quit[kwit]	|Выходить
read[ri:d]--read[red]--read[red]	|Читать
relay[rɪˈleɪ]--relayed[rɪˈleɪd]--relayed[rɪˈleɪd]|Передавать, транслировать
rid[rɪd]--rid[rɪd]--rid[rɪd]		|Избавлять, освобождать
ride[raid]--rode[roud]--ridden['ridn]	|Ездить верхом
ring[riŋ]--rang[ræŋ]--rung[rʌŋ]		|Звенеть
rise[raiz]--rose[rouz]--risen['rizn]	|Подниматься
run[rʌŋ]--ran[ræŋ]--run[rʌŋ]		|Бежать
saw[sɔ:]--sawed[sɔ:d]--sawed[sɔ:d]/ sawn[sɔ:n]|Пилить, распилить
say[sei]--said[sed]--said[sed]		|Говорить
see[si:]--saw[sɔ:]--seen[si:n]		|Видеть
seek[si:k]--sought[sɔ:t]--sought[sɔ:t]	|Искать
sell[sel]--sold[sould]--sold[sould]	|Продавать
send[send]--sent[sent]--sent[sent]	|Посылать
set[set]--set[set]--set[set]		|Ставить
sew[sou]--sewed[soud]--sewn[soun]	|Шить
shake[ʃeik]--shook[ʃuk]--shaken['ʃeik(ə)n]|Встряхивать
shave[ʃeɪv]--shaved[ʃeɪvd]--shaved[ʃeɪvd]/ shaven[ʃeɪvən]|Брить, бриться
shear[ʃɪə]--sheared[ʃɪəd]--sheared[ʃɪəd]/ shorn[ʃɔ:n]|Стричь, срезать
shed[ʃed]--shed[ʃed]--shed[ʃed]		|Проливать, терять
shine[ʃaɪn]--shone[ʃoʊn]--shone[ʃoʊn]	|Светить, сиять
shit[ʃit]--shit[ʃit]--shit[ʃit]		|Гадить
shoe[ʃu:]--shod[ʃɒd]--shod[ʃɒd]		|Обувать, подковывать
shoot[ʃu:t]--shot[ʃɒt]--shot[ʃɒt]	|Стрелять, фотографировать
show[ʃəu]--showed[ʃəud]--shown[ʃəun]	|Показывать
shrink[ʃriŋk]--shrank[ʃræŋk]--shrunk[ʃrʌŋk]|Уменьшать
shut[ʃʌt]--shut[ʃʌt]--shut[ʃʌt]		|Закрывать
sing[siŋ]--sang[sæŋ]--sung[sʌŋ]		|Петь
sink[siŋk]--sank[sæŋk], sunk[sʌŋk]--sunk[sʌŋk]	|Тонуть
sit[sit]--sat[sæt]--sat[sæt]		|Сидеть
slay[sleɪ]--slew[slu:]--slain[sleɪn]	|Убивать, умерщвлять
sleep[sli:p]--slept[slept]--slept[slept]|Спать
slide[slaid]--slid[slid]--slid[slid]	|Скользить
sling[slɪŋ]--slung[slʌŋ]--slung[slʌŋ]	|Повесить
slink[slɪŋk]--slinked[slɪŋkt]/ slunk[slʌŋk]--slinked[slɪŋkt]/ slunk[slʌŋk]|Ускользать
slit[slɪt]--slit[slɪt]--slit[slɪt]	|Разрезать, перерезать
smell[smel]--smelt[smɛlt]--smelt[smɛlt]	|Пахнуть, чувствовать
smite[smʌɪt]--smote[sməʊt]--smitten[ˈsmɪtn]|Поражать, бить
sow[sou]--sowed[soud]--sown[soun]	|Сеять
speak[spi:k]--spoke[spouk]--spoken['spouk(e)n]|Говорить
speed[spi:d]--sped[spɛd]--sped[spɛd]	|Спешить, мчаться
spell[spel]--spelt[spelt]--spelt[spelt]	|Произносить по буквам
spend[spend]--spent[spent]--spent[spent]|Тратить
spill[spil]--spilt[spilt]--spilt[spilt]	|Проливать
spin[spɪn]--spun[spʌn]--spun[spʌn]	|Крутить, вертеть
spit[spɪt]--spit[spɪt]/spat[spæt]--spit[spɪt]/spat[spæt]|Плевать
split[splɪt]--split[splɪt]--split[splɪt]	|Разделять, разбивать
spoil[spɔil]--spoilt[spɔilt]--spoilt[spɔilt]	|Портить
spread[spred]--spread[spred]--spread[spred]	|Расстилать
spring[spriŋ]--sprang[spræŋ]--sprung[sprʌŋ]	|Прыгать
stand[stænd]--stood[stu:d]--stood[stu:d]	|Стоять
steal[sti:l]--stole[stoul]--stolen['stəulən]	|Красть
stick[stik]--stuck[stʌk]--stuck[stʌk]		|Колоть
sting[stiŋ]--stung[stʌŋ]--stung[stʌŋ]		|Жалить
stink[stɪŋk]--stank[stræŋk]--stunk[stʌŋk]	|Вонять, пахнуть
strew[struː]--strewed[struːd]--strewn[struːn]	|Посыпать
stride[straɪd]--strode[stroʊd]--stridden[strɪdn]|Шагать
strike[straɪk]--struck[strʌk]--struck[strʌk]/ stricken[strɪkən]	|Бить, бастовать
string[strɪŋ]--strung[srtʌŋ]--strung[srtʌŋ]	|Нанизывать, вешать
strive[straɪv]--strove[stroʊv]/ strived[straɪvd]--strove[stroʊv]/ strived[straɪvd]|Стараться, пытаться
swear[swɛə]--swore[swɔ:]--sworn[swɔ:n]		|Клясться, присягать
sweat[swet]--sweat[swɛt]/ sweated[swɛtɪd]--sweat[swɛt]/ sweated[swɛtɪd]	|Потеть
sweep[swi:p]--swept[swept]--swept[swept]	|Выметать
swell[swel]--swelled[sweld]--swollen['swoul(e)n]|Разбухать
swim[swim]--swam[swem]--swum[swʌm]		|Плавать
swing[swiŋ]--swung[swʌŋ]--swung[swʌŋ]		|Качать
take[teik]--took[tuk]--taken['teik(ə)n]		|Брать, взять
teach[ti:tʃ]--taught[tɔ:t]--taught[tɔ:t]	|Учить
tear[tɛə]--tore[tɔ:]--torn[tɔ:n]		|Рвать
tell[tel]--told[tould]--told[tould]		|Рассказывать
think[θiŋk]--thought[θɔ:t]--thought[θɔ:t]	|Думать
throw[θrəu]--threw[θru:]--thrown[θrəun]		|Бросать
thrust[θrʌst]--thrust[θrʌst]--thrust[θrʌst]	|Засовывать, воткнуть
tread[tred]--trod[trɒd]--trodden[trɒdn]		|Топтать, давить
undergo[ʌndəˈɡəʊ]--underwent[ʌndə'wɛnt]--undergone[ʌndə'ɡɒn]		|Испытывать, переносить
understand[ʌndə'stænd]--understood[ʌndə'stud]--understood[ʌndə'stud]	|Понимать
undertake[ʌndəˈteɪk]--undertook[ʌndəˈtʊk]--undertaken[ʌndəˈteɪk(ə)n]	|Предпринимать, совершать
undo['ʌn'du:]--undid['ʌn'dɪd]--undone['ʌn'dʌn]	|Уничтожать, отменять
upset[ʌp'set]--upset[ʌp'set]--upset[ʌp'set]	|Расстраивать, огорчать
wake[weik]--woke[wouk]--woken['wouk(e)n]	|Просыпаться
wear[wɛə]--wore[wɔ:]--worn[wɔ:n]		|Носить
weave[wi:v]--wove[woʊv]/ weaved[wi:vd]--wove[woʊv]/ weaved[wi:vd]	|Ткать, плести
wed[wed]--wed[wɛd]/ wedded['wɛdɪd]--wed[wɛd]/ wedded['wɛdɪd]		|Жениться
weep[wi:p]--wept[wept]--wept[wept]		|Плакать
wet[wet]--wet[wet]--wet[wet]			|Мочить
win[win]--won[wʌn]--won[wʌn]			|Выигрывать
wind[waind]--wound[waund]--wound[waund]		|Извиваться
withdraw[wɪðˈdrɔː]--withdrew[wɪð'druː]--withdrawn[wɪð'drɔːn]	|Снимать, удалять
withhold[wɪðˈhəʊld]--withheld[wɪðˈhɛld]--withheld[wɪðˈhɛld]	|Удерживать, скрывать
withstand[wɪðˈstand]--withstood[wɪðˈstʊd]--withstood[wɪðˈstʊd]|Выдерживать, сопротивляться
wring[rɪŋ]--wrung[rʌŋ]--wrung[rʌŋ]		|Выжимать, скручивать
write[rait]--wrote[rout]--written['ritn]	|Писать
